placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2024-12-14 00:00:00,2024-12-15 00:00:00,932,7,282,57,60,96,76,42,27,20,1,76,46,39,44,25,20,9,4,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-15 00:00:00,2024-12-16 00:00:00,815,8,218,53,54,100,67,36,26,11,0,76,30,32,46,35,16,4,2,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-16 00:00:00,2024-12-17 00:00:00,601,4,184,47,43,66,34,25,20,10,0,59,24,21,29,20,5,6,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-17 00:00:00,2024-12-18 00:00:00,541,4,177,43,45,56,45,15,18,9,1,32,23,18,17,17,7,5,7,0,1,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2024-12-18 00:00:00,2024-12-19 00:00:00,518,4,156,37,32,54,39,21,21,8,0,40,33,14,23,16,9,7,0,0,1,1,1,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-19 00:00:00,2024-12-20 00:00:00,494,7,178,35,27,48,24,21,17,8,1,37,23,14,20,14,6,7,5,0,0,0,1,1,0,0,0,0
fukui-station-east-entrance,Face,2024-12-20 00:00:00,2024-12-21 00:00:00,498,4,163,42,31,57,28,18,20,6,1,39,22,20,19,14,5,2,7,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-21 00:00:00,2024-12-22 00:00:00,656,5,212,56,39,82,48,22,21,14,0,43,18,22,30,18,10,7,8,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-22 00:00:00,2024-12-23 00:00:00,664,6,195,47,37,80,35,17,19,8,1,69,30,25,42,25,15,9,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-23 00:00:00,2024-12-24 00:00:00,284,3,85,23,23,28,21,11,10,2,0,28,12,6,12,8,7,2,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-24 00:00:00,2024-12-25 00:00:00,275,3,82,16,19,31,25,12,9,4,2,29,10,8,9,8,5,1,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-25 00:00:00,2024-12-26 00:00:00,270,4,106,17,13,27,12,10,10,3,0,17,11,10,12,7,7,1,3,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-26 00:00:00,2024-12-27 00:00:00,307,4,105,19,21,26,18,19,11,4,0,28,12,9,12,7,4,3,4,0,0,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-27 00:00:00,2024-12-28 00:00:00,365,2,116,19,30,51,33,12,13,10,0,20,17,10,16,5,3,3,5,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-28 00:00:00,2024-12-29 00:00:00,491,3,142,50,33,60,31,26,7,6,0,45,17,15,20,19,8,1,3,0,3,2,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-29 00:00:00,2024-12-30 00:00:00,524,0,178,39,58,61,32,12,13,4,1,46,19,14,18,17,2,4,2,0,0,1,0,2,0,1,0,0
fukui-station-east-entrance,Face,2024-12-30 00:00:00,2024-12-31 00:00:00,514,4,154,45,38,54,36,21,14,6,0,40,19,27,25,19,8,1,1,0,2,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-12-31 00:00:00,2025-01-01 00:00:00,440,3,125,31,37,43,25,12,9,9,2,51,13,24,23,16,5,8,3,0,0,0,1,0,0,0,0,0
