placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-05-19 08:00:00,2026-05-19 08:05:00,6
tojinbo-shotaro,Person,2026-05-19 08:05:00,2026-05-19 08:10:00,18
tojinbo-shotaro,Person,2026-05-19 08:10:00,2026-05-19 08:15:00,32
tojinbo-shotaro,Person,2026-05-19 08:15:00,2026-05-19 08:20:00,11
tojinbo-shotaro,Person,2026-05-19 08:20:00,2026-05-19 08:25:00,30
tojinbo-shotaro,Person,2026-05-19 08:25:00,2026-05-19 08:30:00,32
tojinbo-shotaro,Person,2026-05-19 08:30:00,2026-05-19 08:35:00,29
tojinbo-shotaro,Person,2026-05-19 08:35:00,2026-05-19 08:40:00,24
tojinbo-shotaro,Person,2026-05-19 08:40:00,2026-05-19 08:45:00,15
tojinbo-shotaro,Person,2026-05-19 08:45:00,2026-05-19 08:50:00,9
tojinbo-shotaro,Person,2026-05-19 08:50:00,2026-05-19 08:55:00,15
tojinbo-shotaro,Person,2026-05-19 08:55:00,2026-05-19 09:00:00,15
