placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-06-09 08:00:00,2026-06-09 08:05:00,6
tojinbo-shotaro,Person,2026-06-09 08:05:00,2026-06-09 08:10:00,11
tojinbo-shotaro,Person,2026-06-09 08:10:00,2026-06-09 08:15:00,16
tojinbo-shotaro,Person,2026-06-09 08:15:00,2026-06-09 08:20:00,17
tojinbo-shotaro,Person,2026-06-09 08:20:00,2026-06-09 08:25:00,19
tojinbo-shotaro,Person,2026-06-09 08:25:00,2026-06-09 08:30:00,50
tojinbo-shotaro,Person,2026-06-09 08:30:00,2026-06-09 08:35:00,24
tojinbo-shotaro,Person,2026-06-09 08:35:00,2026-06-09 08:40:00,20
tojinbo-shotaro,Person,2026-06-09 08:40:00,2026-06-09 08:45:00,11
tojinbo-shotaro,Person,2026-06-09 08:45:00,2026-06-09 08:50:00,19
tojinbo-shotaro,Person,2026-06-09 08:50:00,2026-06-09 08:55:00,18
tojinbo-shotaro,Person,2026-06-09 08:55:00,2026-06-09 09:00:00,12
