placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-06-08 08:00:00,2026-06-08 08:05:00,14
tojinbo-shotaro,Person,2026-06-08 08:05:00,2026-06-08 08:10:00,20
tojinbo-shotaro,Person,2026-06-08 08:10:00,2026-06-08 08:15:00,24
tojinbo-shotaro,Person,2026-06-08 08:15:00,2026-06-08 08:20:00,15
tojinbo-shotaro,Person,2026-06-08 08:20:00,2026-06-08 08:25:00,52
tojinbo-shotaro,Person,2026-06-08 08:25:00,2026-06-08 08:30:00,39
tojinbo-shotaro,Person,2026-06-08 08:30:00,2026-06-08 08:35:00,28
tojinbo-shotaro,Person,2026-06-08 08:35:00,2026-06-08 08:40:00,25
tojinbo-shotaro,Person,2026-06-08 08:40:00,2026-06-08 08:45:00,52
tojinbo-shotaro,Person,2026-06-08 08:45:00,2026-06-08 08:50:00,41
tojinbo-shotaro,Person,2026-06-08 08:50:00,2026-06-08 08:55:00,50
tojinbo-shotaro,Person,2026-06-08 08:55:00,2026-06-08 09:00:00,9
