placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2024-12-01 00:00:00,2024-12-02 00:00:00,537,1,43,20,14,27,22,45,135,174,0,10,2,4,5,9,3,7,16,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-02 00:00:00,2024-12-03 00:00:00,224,0,7,8,10,9,13,42,77,39,0,1,2,2,2,3,3,3,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-03 00:00:00,2024-12-04 00:00:00,76,0,12,3,4,5,8,6,14,9,0,0,0,0,1,2,3,6,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-04 00:00:00,2024-12-05 00:00:00,114,0,4,8,3,8,8,11,28,34,0,0,1,0,1,1,1,2,4,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-05 00:00:00,2024-12-06 00:00:00,61,0,6,2,2,2,3,5,15,15,0,2,2,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-06 00:00:00,2024-12-07 00:00:00,46,0,5,3,2,3,2,5,7,7,0,0,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-07 00:00:00,2024-12-08 00:00:00,102,0,5,7,5,6,12,13,33,13,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-08 00:00:00,2024-12-09 00:00:00,62,0,7,3,4,4,3,10,12,8,0,1,1,0,2,2,1,3,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-09 00:00:00,2024-12-10 00:00:00,74,1,3,6,6,10,2,10,9,6,0,5,0,1,4,2,3,2,4,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-10 00:00:00,2024-12-11 00:00:00,30,0,3,0,1,8,2,1,5,1,0,0,0,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-11 00:00:00,2024-12-12 00:00:00,35,0,5,4,2,1,3,3,5,6,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-12 00:00:00,2024-12-13 00:00:00,53,0,4,2,8,7,11,6,4,4,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-13 00:00:00,2024-12-14 00:00:00,48,0,3,0,7,2,3,5,8,9,0,1,0,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-14 00:00:00,2024-12-15 00:00:00,33,0,1,1,4,7,3,6,1,4,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-15 00:00:00,2024-12-16 00:00:00,82,0,2,4,15,11,10,13,11,6,0,1,1,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-16 00:00:00,2024-12-17 00:00:00,54,0,4,2,3,3,6,4,8,9,0,1,0,1,3,4,1,3,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-17 00:00:00,2024-12-18 00:00:00,44,0,2,3,5,5,4,7,3,5,0,1,1,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-18 00:00:00,2024-12-19 00:00:00,22,0,0,1,1,4,3,1,4,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-19 00:00:00,2024-12-20 00:00:00,12,0,0,1,0,2,2,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-20 00:00:00,2024-12-21 00:00:00,52,0,5,3,4,4,3,4,9,3,0,2,1,0,1,4,5,3,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-21 00:00:00,2024-12-22 00:00:00,50,0,5,5,8,7,3,3,8,1,0,2,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-22 00:00:00,2024-12-23 00:00:00,21,0,0,1,2,8,6,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-23 00:00:00,2024-12-24 00:00:00,14,0,1,3,2,2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-24 00:00:00,2024-12-25 00:00:00,11,0,0,2,0,0,2,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-25 00:00:00,2024-12-26 00:00:00,20,0,1,0,0,1,3,2,4,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-26 00:00:00,2024-12-27 00:00:00,9,0,1,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-27 00:00:00,2024-12-28 00:00:00,14,0,0,0,0,3,2,1,2,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-28 00:00:00,2024-12-29 00:00:00,192,0,72,45,16,29,13,8,3,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-29 00:00:00,2024-12-30 00:00:00,179,0,105,20,8,13,2,10,9,6,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-30 00:00:00,2024-12-31 00:00:00,52,0,6,1,3,5,5,7,7,7,0,2,1,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-12-31 00:00:00,2025-01-01 00:00:00,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
